customer_id,first_purchase_date,customer_region,acquisition_channel,customer_tenure_days,purchase_frequency,prior_spending,transaction_count,total_spending,average_discount_percent,price_increase_occurred,churned,last_transaction_date
C000001,2025-10-16,uk,direct,76,8.0,103.98,2,103.98,0.0,False,True,2025-11-08
C000002,2025-07-12,uk,influencer,172,4.247,120.83,2,120.83,12.5,False,False,2025-10-31
C000003,2025-07-12,north_america,influencer,172,6.371,170.77,3,170.77,6.67,False,False,2025-12-25
C000004,2024-08-08,rest_of_world,influencer,510,5.729,491.93,8,491.93,8.75,False,False,2025-12-13
C000005,2025-07-03,uk,affiliate,181,4.036,104.97,2,104.97,0.0,True,False,2025-07-29
C000006,2025-01-05,north_america,direct,360,1.015,65.98,1,65.98,0.0,False,False,2025-01-05
C000007,2024-08-26,asia_pacific,influencer,492,2.97,191.86,4,191.86,2.5,False,False,2025-11-05
C000008,2025-11-17,uk,affiliate,44,4.0,25.49,1,25.49,25.0,False,False,2025-11-17
C000009,2024-06-16,north_america,paid_social,563,0.649,33.99,1,33.99,15.0,False,False,2024-06-16
C000010,2024-02-02,europe,influencer,698,3.14,288.91,6,288.91,10.83,False,False,2025-07-21
C000011,2025-10-20,north_america,paid_social,72,4.0,113.98,1,113.98,0.0,False,False,2025-10-20
C000012,2025-08-20,north_america,paid_social,133,5.492,104.18,2,104.18,10.0,False,False,2025-11-30
C000013,2024-03-06,north_america,organic_search,665,2.746,164.83,5,164.83,8.0,False,False,2025-08-02
C000014,2025-11-27,europe,direct,34,4.0,69.69,1,69.69,15.0,False,False,2025-11-27
C000015,2025-03-21,uk,paid_social,285,5.126,151.26,4,151.26,15.0,True,False,2025-10-31
C000016,2025-06-03,asia_pacific,email,211,1.731,28.79,1,28.79,10.0,False,False,2025-06-03
C000017,2024-06-14,north_america,direct,565,2.586,178.95,4,178.95,0.0,True,False,2025-12-06
C000018,2024-03-21,uk,organic_search,650,5.057,589.07,9,589.07,4.44,True,False,2025-11-21
C000019,2024-09-28,north_america,organic_search,459,5.57,448.3,7,448.3,4.29,False,False,2025-11-07
C000020,2025-11-18,europe,influencer,43,8.0,86.98,2,86.98,0.0,False,True,2025-12-23
C000021,2025-08-25,north_america,organic_search,128,2.854,41.99,1,41.99,25.0,False,False,2025-08-25
C000022,2025-05-12,uk,paid_social,233,9.406,273.58,6,273.58,9.17,True,False,2025-12-11
C000023,2025-02-20,uk,paid_social,314,4.653,198.01,4,198.01,15.0,False,False,2025-11-16
C000024,2025-11-20,europe,organic_search,41,4.0,32.99,1,32.99,0.0,False,True,2025-11-20
C000025,2024-05-23,north_america,paid_social,587,3.111,469.81,5,469.81,2.0,False,False,2025-08-20
C000026,2025-07-07,asia_pacific,affiliate,177,4.127,217.15,2,217.15,17.5,False,False,2025-11-12
C000027,2024-03-01,uk,paid_social,670,2.726,167.4,5,167.4,13.0,False,False,2025-01-02
C000028,2025-07-23,europe,organic_search,161,4.537,81.28,2,81.28,7.5,False,False,2025-08-24
C000029,2024-03-03,europe,paid_social,668,6.015,618.75,11,618.75,9.09,True,False,2025-10-28
C000030,2025-06-04,uk,paid_social,210,5.218,154.02,3,154.02,5.0,False,False,2025-12-19
C000031,2025-08-06,uk,organic_search,147,4.969,169.37,2,169.37,7.5,False,False,2025-10-05
C000032,2024-09-24,uk,direct,463,1.578,65.58,2,65.58,5.0,False,False,2025-11-23
C000033,2024-11-19,asia_pacific,affiliate,407,1.795,101.98,2,101.98,0.0,False,True,2025-12-12
C000034,2024-05-15,rest_of_world,email,595,4.911,535.39,8,535.39,9.38,False,False,2025-11-27
C000035,2024-11-05,north_america,affiliate,421,4.338,683.79,5,683.79,2.0,False,False,2025-11-22
C000036,2024-05-17,uk,email,593,1.848,201.75,3,201.75,13.33,True,False,2025-11-07
C000037,2024-12-17,uk,organic_search,379,1.927,118.87,2,118.87,7.5,True,False,2025-02-16
C000038,2024-04-04,north_america,email,636,2.297,222.4,4,222.4,8.75,False,True,2025-12-17
C000039,2024-06-14,europe,organic_search,565,2.586,212.05,4,212.05,8.75,False,False,2025-07-30
C000040,2024-06-01,north_america,email,578,3.16,221.94,5,221.94,6.0,False,False,2025-11-13
C000041,2024-02-10,asia_pacific,paid_social,690,2.647,265.72,5,265.72,11.0,False,False,2025-12-19
C000042,2025-02-20,rest_of_world,direct,314,1.163,93.99,1,93.99,0.0,False,False,2025-02-20
C000043,2024-06-30,asia_pacific,paid_social,549,3.327,307.84,5,307.84,11.0,True,False,2025-11-21
C000044,2024-09-11,uk,direct,476,4.604,232.13,6,232.13,6.67,False,False,2025-07-30
C000045,2024-11-08,europe,email,418,2.621,183.99,3,183.99,10.0,True,False,2025-09-24
C000046,2024-03-12,rest_of_world,paid_social,659,2.217,250.08,4,250.08,3.75,False,False,2025-11-18
C000047,2024-01-29,uk,affiliate,702,3.642,343.32,7,343.32,7.14,True,False,2025-12-04
C000048,2024-11-17,north_america,affiliate,409,7.144,536.98,8,536.98,16.25,False,False,2025-11-17
C000049,2025-11-17,uk,influencer,44,4.0,25.49,1,25.49,25.0,False,False,2025-11-17
C000050,2025-06-03,uk,influencer,211,5.193,267.94,3,267.94,0.0,False,False,2025-11-19
C000051,2025-01-23,europe,email,342,1.068,23.79,1,23.79,30.0,False,False,2025-01-23
C000052,2024-10-20,uk,direct,437,2.507,156.57,3,156.57,6.67,False,False,2025-07-25
C000053,2025-06-07,north_america,email,207,3.529,145.41,2,145.41,7.5,False,False,2025-07-09
C000054,2025-10-10,north_america,paid_social,82,4.0,32.39,1,32.39,10.0,True,False,2025-10-10
C000055,2024-05-30,uk,paid_social,580,1.259,104.63,2,104.63,12.5,False,False,2025-11-02
C000056,2025-10-06,north_america,direct,86,8.0,124.42,2,124.42,17.5,True,False,2025-12-09
C000057,2024-04-19,europe,paid_social,621,5.293,436.74,9,436.74,8.33,False,False,2025-10-23
C000058,2024-05-04,north_america,direct,606,6.027,608.64,10,608.64,11.5,False,False,2025-12-20
C000059,2025-05-31,north_america,email,214,5.12,118.77,3,118.77,10.0,True,False,2025-12-01
C000060,2024-09-10,asia_pacific,paid_social,477,3.829,181.25,5,181.25,13.0,True,False,2025-11-20
C000061,2024-10-19,uk,influencer,438,2.502,137.27,3,137.27,11.67,False,False,2025-11-08
C000062,2025-02-28,north_america,organic_search,306,2.387,160.77,2,160.77,7.5,True,False,2025-04-07
C000063,2025-08-21,rest_of_world,paid_social,132,8.301,172.76,3,172.76,10.0,False,False,2025-12-29
C000064,2024-11-01,europe,email,425,1.719,89.08,2,89.08,5.0,False,False,2025-07-13
C000065,2025-09-09,asia_pacific,organic_search,113,3.232,62.09,1,62.09,10.0,False,False,2025-09-09
C000066,2025-02-18,europe,email,316,3.468,157.96,3,157.96,0.0,False,False,2025-12-26
C000067,2024-03-26,europe,paid_social,645,2.265,188.15,4,188.15,10.0,False,False,2025-05-26
C000068,2024-11-30,uk,email,396,1.845,111.48,2,111.48,22.5,False,False,2025-11-07
C000069,2024-02-23,rest_of_world,influencer,677,5.395,443.54,10,443.54,6.0,False,False,2025-12-16
C000070,2024-09-10,uk,paid_social,477,1.531,85.47,2,85.47,10.0,False,False,2025-05-28
C000071,2024-08-11,north_america,paid_social,507,2.882,146.51,4,146.51,12.5,False,False,2025-12-13
C000072,2024-06-16,rest_of_world,paid_social,563,2.595,208.19,4,208.19,11.25,False,False,2025-11-12
C000073,2025-02-10,rest_of_world,paid_social,324,3.382,192.76,3,192.76,3.33,False,False,2025-12-07
C000074,2024-11-04,asia_pacific,organic_search,422,4.328,260.28,5,260.28,9.0,False,False,2025-12-27
C000075,2025-06-02,europe,paid_social,212,6.892,242.15,4,242.15,3.75,True,False,2025-12-07
C000076,2025-04-15,europe,influencer,260,1.405,17.99,1,17.99,0.0,False,False,2025-04-15
C000077,2025-03-22,europe,organic_search,284,2.572,81.38,2,81.38,5.0,False,False,2025-09-19
C000078,2025-04-06,uk,influencer,269,5.431,273.55,4,273.55,13.75,False,False,2025-11-08
C000079,2024-07-05,north_america,influencer,544,2.686,186.05,4,186.05,6.25,True,True,2025-10-02
C000080,2025-07-23,uk,affiliate,161,6.806,95.97,3,95.97,3.33,False,False,2025-10-26
C000081,2025-05-17,north_america,paid_social,228,1.602,25.59,1,25.59,20.0,False,False,2025-05-17
C000082,2025-01-12,north_america,organic_search,353,3.104,114.37,3,114.37,3.33,False,False,2025-11-16
C000083,2024-10-04,uk,paid_social,453,3.225,238.05,4,238.05,11.25,False,True,2025-12-15
C000084,2024-07-08,uk,direct,541,3.376,253.59,5,253.59,15.0,False,False,2025-11-18
C000085,2024-04-12,asia_pacific,influencer,628,1.745,103.57,3,103.57,5.0,False,False,2025-05-13
C000086,2024-02-16,rest_of_world,organic_search,684,4.272,478.3,8,478.3,8.75,True,False,2025-09-28
C000087,2024-01-13,north_america,influencer,718,2.035,303.9,4,303.9,13.75,True,True,2025-10-19
C000088,2025-05-04,uk,paid_social,241,3.031,97.18,2,97.18,10.0,False,False,2025-07-01
C000089,2025-07-30,rest_of_world,paid_social,154,2.372,49.49,1,49.49,10.0,False,False,2025-07-30
C000090,2025-09-25,uk,organic_search,97,7.531,132.17,2,132.17,5.0,False,False,2025-11-02
C000091,2024-11-08,north_america,paid_social,418,4.369,310.73,5,310.73,4.0,True,False,2025-12-09
C000092,2024-09-02,uk,paid_social,485,5.272,464.66,7,464.66,10.71,False,False,2025-08-08
C000093,2025-04-09,uk,paid_social,266,2.746,103.16,2,103.16,10.0,False,False,2025-11-08
C000094,2024-07-21,north_america,organic_search,528,6.918,425.19,10,425.19,7.0,True,True,2025-12-28
