event_date,product_id,product_name,product_category,unit_cost,list_price,selling_price,discount_percent,product_views,add_to_cart_events,checkout_started_events,purchases,units_sold,revenue,gross_margin,inventory_level,stockout_flag,price_increase_occurred
2024-01-01,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,45.04,15.0,184,22,8,0,0,0.0,0.0,759,False,False
2024-01-02,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,39.74,25.0,233,37,16,0,0,0.0,0.0,759,False,False
2024-01-03,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,211,16,6,1,1,52.99,34.77,758,False,False
2024-01-04,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,217,21,8,1,2,95.38,58.94,756,False,False
2024-01-05,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,257,21,7,0,0,0.0,0.0,756,False,False
2024-01-06,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,182,14,6,0,0,0.0,0.0,756,False,False
2024-01-07,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,246,22,8,1,2,105.98,69.54,754,False,False
2024-01-08,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,224,18,7,1,1,52.99,34.77,753,False,False
2024-01-09,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,266,23,10,0,0,0.0,0.0,753,False,False
2024-01-10,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,207,15,6,0,0,0.0,0.0,753,False,False
2024-01-11,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,210,16,6,0,0,0.0,0.0,753,False,False
2024-01-12,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,250,22,8,1,1,52.99,34.77,752,False,False
2024-01-13,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,217,17,7,0,0,0.0,0.0,752,False,False
2024-01-14,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,255,20,8,0,0,0.0,0.0,752,False,False
2024-01-15,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,189,14,5,0,0,0.0,0.0,752,False,False
2024-01-16,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,230,17,7,0,0,0.0,0.0,752,False,False
2024-01-17,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,193,16,6,1,1,52.99,34.77,751,False,False
2024-01-18,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,39.74,25.0,157,21,9,1,1,39.74,21.52,750,False,False
2024-01-19,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,230,18,7,1,1,52.99,34.77,749,False,False
2024-01-20,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,228,20,8,1,2,105.98,69.54,747,False,False
2024-01-21,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,164,12,5,0,0,0.0,0.0,747,False,False
2024-01-22,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,189,14,6,0,0,0.0,0.0,747,False,False
2024-01-23,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,255,19,7,1,3,158.97,104.31,744,False,False
2024-01-24,P0001,Apex Sculpt Leggings,leggings,18.22,56.99,56.99,0.0,192,13,5,0,0,0.0,0.0,744,False,True
2024-01-25,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,204,18,6,2,2,105.98,69.54,742,False,False
2024-01-26,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,45.04,15.0,299,37,16,1,1,45.04,26.82,741,False,False
2024-01-27,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,188,18,8,0,0,0.0,0.0,741,False,False
2024-01-28,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,239,18,8,0,0,0.0,0.0,741,False,False
2024-01-29,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,271,21,9,0,0,0.0,0.0,741,False,False
2024-01-30,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,220,19,8,2,3,158.97,104.31,738,False,False
2024-01-31,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,223,18,7,2,2,105.98,69.54,736,False,False
2024-02-01,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,257,26,10,1,4,190.76,117.88,777,False,False
2024-02-02,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,157,11,4,0,0,0.0,0.0,777,False,False
2024-02-03,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,285,29,12,1,2,95.38,58.94,775,False,False
2024-02-04,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,207,19,7,0,0,0.0,0.0,775,False,False
2024-02-05,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,42.39,20.0,334,45,20,1,1,42.39,24.17,774,False,False
2024-02-06,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,224,26,10,0,0,0.0,0.0,774,False,False
2024-02-07,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,180,14,5,2,3,158.97,104.31,771,False,False
2024-02-08,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,272,33,13,0,0,0.0,0.0,771,False,False
2024-02-09,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,154,12,4,0,0,0.0,0.0,771,False,False
2024-02-10,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,42.39,20.0,234,29,12,1,1,42.39,24.17,770,False,False
2024-02-11,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,262,19,8,1,1,52.99,34.77,769,False,False
2024-02-12,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,153,13,5,1,1,52.99,34.77,768,False,False
2024-02-13,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,178,16,6,0,0,0.0,0.0,768,False,False
2024-02-14,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,45.04,15.0,255,29,12,0,0,0.0,0.0,768,False,False
2024-02-15,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,45.04,15.0,150,18,8,1,2,90.08,53.64,766,False,False
2024-02-16,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,49.46,6.67,250,25,10,3,3,148.37,93.71,763,False,False
2024-02-17,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,224,19,7,1,2,105.98,69.54,761,False,False
2024-02-18,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,199,17,6,0,0,0.0,0.0,761,False,False
2024-02-19,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,224,20,7,1,2,105.98,69.54,759,False,False
2024-02-20,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,39.74,25.0,271,39,16,1,2,79.48,43.04,757,False,False
2024-02-21,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,235,20,7,0,0,0.0,0.0,757,False,False
2024-02-22,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,265,19,8,0,0,0.0,0.0,757,False,False
2024-02-23,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,205,18,7,0,0,0.0,0.0,757,False,False
2024-02-24,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,217,26,10,1,1,47.69,29.47,756,False,False
2024-02-25,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,157,12,4,0,0,0.0,0.0,756,False,False
2024-02-26,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,226,17,6,0,0,0.0,0.0,756,False,False
2024-02-27,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,275,25,9,0,0,0.0,0.0,756,False,False
2024-02-28,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,37.09,30.0,247,36,16,0,0,0.0,0.0,756,False,False
2024-02-29,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,216,19,7,1,1,52.99,34.77,755,False,False
2024-03-01,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,263,19,7,0,0,0.0,0.0,792,False,False
2024-03-02,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,186,15,6,0,0,0.0,0.0,792,False,False
2024-03-03,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,209,21,8,0,0,0.0,0.0,792,False,False
2024-03-04,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,212,17,6,0,0,0.0,0.0,792,False,False
2024-03-05,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,206,17,7,2,2,105.98,69.54,790,False,False
2024-03-06,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,285,22,9,0,0,0.0,0.0,790,False,False
2024-03-07,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,216,18,6,0,0,0.0,0.0,790,False,False
2024-03-08,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,261,30,11,0,0,0.0,0.0,790,False,False
2024-03-09,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,237,21,9,1,3,158.97,104.31,787,False,False
2024-03-10,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,39.74,25.0,226,33,15,1,1,39.74,21.52,786,False,False
2024-03-11,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,177,14,6,0,0,0.0,0.0,786,False,False
2024-03-12,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,39.74,25.0,319,46,19,1,1,39.74,21.52,785,False,False
2024-03-13,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,294,26,10,3,3,158.97,104.31,782,False,False
2024-03-14,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,223,16,7,1,1,52.99,34.77,781,False,False
2024-03-15,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,287,22,8,0,0,0.0,0.0,781,False,False
2024-03-16,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,365,35,13,1,1,47.69,29.47,780,False,False
2024-03-17,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,183,13,5,2,5,264.95,173.85,775,False,False
2024-03-18,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,278,23,9,0,0,0.0,0.0,775,False,False
2024-03-19,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,42.39,20.0,299,40,18,1,3,127.18,72.52,772,False,False
2024-03-20,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,39.74,25.0,308,41,18,1,1,39.74,21.52,771,False,False
2024-03-21,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,258,18,7,0,0,0.0,0.0,771,False,False
2024-03-22,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,239,24,9,1,1,47.69,29.47,770,False,False
2024-03-23,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,281,24,9,1,1,52.99,34.77,769,False,False
2024-03-24,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,46.37,12.5,222,28,13,2,2,92.73,56.29,767,False,False
2024-03-25,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,42.39,20.0,235,31,13,1,1,42.39,24.17,766,False,False
2024-03-26,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,42.39,20.0,270,34,14,1,1,42.39,24.17,765,False,False
2024-03-27,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,269,24,9,1,1,52.99,34.77,764,False,False
2024-03-28,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,246,22,8,0,0,0.0,0.0,764,False,False
2024-03-29,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,203,16,6,0,0,0.0,0.0,764,False,False
2024-03-30,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,199,17,6,1,2,105.98,69.54,762,False,False
2024-03-31,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,39.74,25.0,300,43,19,1,1,39.74,21.52,761,False,False
2024-04-01,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,271,26,12,3,3,143.07,88.41,787,False,False
2024-04-02,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,234,18,6,1,1,52.99,34.77,786,False,False
2024-04-03,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,238,19,7,0,0,0.0,0.0,786,False,False
2024-04-04,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,219,18,7,1,1,52.99,34.77,785,False,False
2024-04-05,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.03,7.5,186,20,8,2,4,188.11,115.23,781,False,False
2024-04-06,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,226,18,7,0,0,0.0,0.0,781,False,False
2024-04-07,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,45.04,15.0,245,27,11,0,0,0.0,0.0,781,False,False
2024-04-08,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,50.34,5.0,351,32,11,2,2,100.68,64.24,779,False,False
2024-04-09,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,208,19,7,1,1,52.99,34.77,778,False,False
2024-04-10,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,47.69,10.0,248,25,10,2,3,143.07,88.41,775,False,False
2024-04-11,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,181,14,5,1,1,52.99,34.77,774,False,False
2024-04-12,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,42.39,20.0,266,34,14,1,2,84.78,48.34,772,False,False
2024-04-13,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,300,21,8,0,0,0.0,0.0,772,False,False
2024-04-14,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,46.37,12.5,313,36,15,2,2,92.73,56.29,770,False,False
2024-04-15,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,287,26,9,2,2,105.98,69.54,768,False,False
2024-04-16,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,217,17,6,0,0,0.0,0.0,768,False,False
2024-04-17,P0001,Apex Sculpt Leggings,leggings,18.22,52.99,52.99,0.0,235,19,7,0,0,0.0,0.0,768,False,False
