product_id,product_name,product_category,unit_cost,list_price,gross_margin,gross_margin_rate,total_revenue,total_units_sold,total_purchases,product_views,add_to_cart_events,checkout_started_events,inventory_level,stockout_flag
P0001,Apex Sculpt Leggings,leggings,18.22,52.99,63143.25,0.6266,100767.55,2065,1507,195059,19763,7967,79,True
P0002,Core Flex Leggings,leggings,25.2,53.99,38464.44,0.4918,78204.84,1577,1214,170860,16926,6741,408,False
P0003,Motion Seamless Leggings,leggings,20.19,54.99,58885.75,0.5976,98538.91,1964,1464,205376,20769,8377,424,False
P0004,Lift Training Leggings,leggings,27.07,55.99,53752.43,0.4715,114010.25,2226,1681,208741,20888,8335,89,True
P0005,Contour High-Rise Leggings,leggings,18.32,43.99,47886.32,0.5479,87402.56,2157,1639,215734,21663,8665,178,True
P0006,Pulse Pocket Leggings,leggings,23.2,48.99,34518.76,0.4809,71777.96,1606,1196,166764,16767,6707,514,False
P0007,Apex Support Sports Bra,sports_bras,14.19,31.99,31364.67,0.5183,60510.93,2054,1535,204491,20675,8266,180,True
P0008,Core Strappy Sports Bra,sports_bras,14.0,37.99,40133.1,0.601,66775.1,1903,1449,192575,19157,7642,100,True
P0009,Motion Longline Sports Bra,sports_bras,14.37,41.99,45222.22,0.6274,72079.75,1869,1401,184867,18519,7413,117,True
P0010,Lift High-Support Bra,sports_bras,13.72,34.99,28265.0,0.5746,49188.0,1525,1124,159786,15802,6277,645,False
P0011,Contour V-Neck Sports Bra,sports_bras,17.72,39.99,29912.66,0.52,57520.42,1558,1170,160932,15930,6347,147,True
P0012,Apex Training Tee,training_tops,15.36,33.99,30825.0,0.5059,60930.6,1960,1474,194973,19524,7812,134,True
P0013,Core Fitted Tank,training_tops,16.06,30.99,21698.82,0.4402,49289.9,1718,1308,183293,18012,7200,398,False
P0014,Motion Crop Tee,training_tops,15.99,33.99,23501.81,0.4878,48174.38,1543,1146,164277,16262,6472,118,True
P0015,Lift Performance Top,training_tops,16.01,32.99,25893.58,0.4704,55047.79,1821,1392,187360,18950,7596,326,False
P0016,Everyday Oversized Tee,training_tops,17.41,35.99,33886.45,0.474,71492.05,2160,1625,212084,21324,8524,697,False
P0017,Tempo Long Sleeve Top,training_tops,16.09,33.99,27287.99,0.486,56153.45,1794,1368,184398,18525,7423,393,False
P0018,Apex Rest Day Hoodie,hoodies,29.78,59.99,40009.58,0.4637,86287.7,1554,1203,171428,16949,6765,570,False
P0019,Core Pullover Hoodie,hoodies,27.64,68.99,48080.44,0.5629,85422.08,1351,1056,147248,14565,5794,49,True
P0020,Motion Zip Hoodie,hoodies,28.3,66.99,53226.48,0.5408,98421.58,1597,1186,158560,15716,6302,89,True
P0021,Lift Oversized Hoodie,hoodies,26.7,70.99,57910.57,0.5897,98200.87,1509,1148,166915,16570,6604,575,False
P0022,Tempo Fleece Hoodie,hoodies,23.89,66.99,54362.12,0.6128,88715.94,1438,1087,157067,15574,6197,784,False
P0023,Apex Slim Joggers,joggers,20.57,56.99,54135.26,0.6062,89309.96,1710,1305,177049,17823,7103,176,False
P0024,Core Fleece Joggers,joggers,25.98,54.99,34689.42,0.485,71529.06,1418,1077,162033,16024,6408,748,False
P0025,Motion Training Joggers,joggers,25.3,48.99,25887.03,0.4406,58751.73,1299,972,146137,14342,5735,426,False
P0026,Lift Tapered Joggers,joggers,28.66,58.99,45912.58,0.4713,97414.6,1797,1311,181779,18119,7248,118,True
P0027,Tempo Woven Joggers,joggers,20.55,58.99,54491.29,0.6254,87124.69,1588,1192,156494,15545,6210,30,True
P0028,Apex Training Shorts,shorts,15.11,30.99,17753.08,0.4689,37864.49,1331,1025,139270,13848,5530,56,True
P0029,Core Running Shorts,shorts,16.04,35.99,26010.35,0.5103,50968.59,1556,1170,165526,16686,6708,451,False
P0030,Motion Bike Shorts,shorts,12.21,32.99,26886.85,0.5995,44847.76,1471,1117,161601,15953,6364,139,True
P0031,Lift Hybrid Shorts,shorts,14.39,36.99,22697.36,0.5752,39461.71,1165,861,129444,12808,5100,263,False
P0032,Tempo Woven Shorts,shorts,17.53,39.99,21465.12,0.5238,40976.01,1113,816,126674,12563,5022,817,False
P0033,Apex Training Jacket,outerwear,43.34,83.99,35072.83,0.44,79713.03,1030,769,120900,11723,4696,348,False
P0034,Core Puffer Vest,outerwear,30.49,81.99,59685.38,0.5913,100938.35,1353,1016,145066,14358,5729,401,False
P0035,Motion Lightweight Jacket,outerwear,45.19,89.99,47383.54,0.4517,104910.41,1273,928,136353,13394,5334,751,False
P0036,Lift Zip Jacket,outerwear,37.37,93.99,67849.32,0.5676,119532.03,1383,1049,149640,14763,5904,118,True
P0037,Core Crew Socks,accessories,7.77,21.99,16311.46,0.6134,26591.17,1323,1002,150796,15026,6016,119,True
P0038,Apex Training Cap,accessories,11.97,23.99,14449.16,0.4557,31709.9,1442,1063,151137,15019,5981,140,True
P0039,Motion Duffel Bag,accessories,7.29,17.99,10433.93,0.5575,18715.37,1136,840,131750,13071,5227,226,False
P0040,Lift Wrist Wraps,accessories,10.87,21.99,9915.09,0.4646,21339.46,1051,791,126883,12502,4979,99,True
P0041,Tempo Water Bottle,accessories,8.72,21.99,16563.24,0.5676,29181.08,1447,1092,156746,15656,6248,115,True
