transaction_id,customer_id,transaction_date,product_id,product_name,product_category,product_price,unit_cost,list_price,selling_price,discount_amount,discount_percent,quantity,order_value,gross_margin,customer_region,acquisition_channel,customer_tenure_days,purchase_frequency,prior_spending,price_increase_occurred,churned
T00000001,C000001,2025-10-16,P0034,Core Puffer Vest,outerwear,81.99,30.49,81.99,81.99,0.0,0.0,1,81.99,51.5,uk,direct,0,0.0,0.0,False,True
T00000002,C000001,2025-11-08,P0037,Core Crew Socks,accessories,21.99,7.77,21.99,21.99,0.0,0.0,1,21.99,14.22,uk,direct,23,4.0,81.99,False,True
T00000003,C000002,2025-07-12,P0020,Motion Zip Hoodie,hoodies,66.99,28.3,66.99,56.94,10.05,15.0,1,56.94,28.64,uk,influencer,0,0.0,0.0,False,False
T00000004,C000002,2025-10-31,P0021,Lift Oversized Hoodie,hoodies,70.99,26.7,70.99,63.89,7.1,10.0,1,63.89,37.19,uk,influencer,111,3.291,56.94,False,False
T00000005,C000003,2025-07-12,P0003,Motion Seamless Leggings,leggings,54.99,20.19,54.99,54.99,0.0,0.0,1,54.99,34.8,north_america,influencer,0,0.0,0.0,False,False
T00000006,C000003,2025-10-12,P0004,Lift Training Leggings,leggings,55.99,27.07,55.99,44.79,11.2,20.0,1,44.79,17.72,north_america,influencer,92,3.97,54.99,False,False
T00000007,C000003,2025-12-25,P0021,Lift Oversized Hoodie,hoodies,70.99,26.7,70.99,70.99,0.0,0.0,1,70.99,44.29,north_america,influencer,166,4.401,99.78,False,False
T00000008,C000004,2024-08-08,P0014,Motion Crop Tee,training_tops,33.99,15.99,33.99,33.99,0.0,0.0,3,101.97,54.0,rest_of_world,influencer,0,0.0,0.0,False,False
T00000009,C000004,2024-12-09,P0012,Apex Training Tee,training_tops,33.99,15.36,33.99,30.59,3.4,10.0,1,30.59,15.23,rest_of_world,influencer,123,2.97,101.97,False,False
T00000010,C000004,2025-01-29,P0021,Lift Oversized Hoodie,hoodies,70.99,26.7,70.99,60.34,10.65,15.0,1,60.34,33.64,rest_of_world,influencer,174,4.198,132.56,False,False
T00000011,C000004,2025-03-27,P0014,Motion Crop Tee,training_tops,33.99,15.99,33.99,27.19,20.39,20.0,3,81.58,33.61,rest_of_world,influencer,231,4.744,192.9,False,False
T00000012,C000004,2025-07-04,P0041,Tempo Water Bottle,accessories,21.99,8.72,21.99,16.49,5.5,25.0,1,16.49,7.77,rest_of_world,influencer,330,4.427,274.48,False,False
T00000013,C000004,2025-08-11,P0003,Motion Seamless Leggings,leggings,54.99,20.19,54.99,54.99,0.0,0.0,2,109.98,69.6,rest_of_world,influencer,368,4.963,290.97,False,False
T00000014,C000004,2025-11-14,P0013,Core Fitted Tank,training_tops,30.99,16.06,30.99,30.99,0.0,0.0,1,30.99,14.93,rest_of_world,influencer,463,4.733,400.95,False,False
T00000015,C000004,2025-12-13,P0018,Apex Rest Day Hoodie,hoodies,59.99,29.78,59.99,59.99,0.0,0.0,1,59.99,30.21,rest_of_world,influencer,492,5.197,431.94,False,False
T00000016,C000005,2025-07-03,P0038,Apex Training Cap,accessories,24.99,11.97,24.99,24.99,0.0,0.0,2,49.98,26.04,uk,affiliate,0,0.0,0.0,True,False
T00000017,C000005,2025-07-29,P0024,Core Fleece Joggers,joggers,54.99,25.98,54.99,54.99,0.0,0.0,1,54.99,29.01,uk,affiliate,26,4.0,49.98,False,False
T00000018,C000006,2025-01-05,P0015,Lift Performance Top,training_tops,32.99,16.01,32.99,32.99,0.0,0.0,2,65.98,33.96,north_america,direct,0,0.0,0.0,False,False
T00000019,C000007,2024-08-26,P0001,Apex Sculpt Leggings,leggings,52.99,18.22,52.99,52.99,0.0,0.0,1,52.99,34.77,asia_pacific,influencer,0,0.0,0.0,False,False
T00000020,C000007,2025-05-29,P0009,Motion Longline Sports Bra,sports_bras,41.99,14.37,41.99,41.99,0.0,0.0,1,41.99,27.62,asia_pacific,influencer,276,1.323,52.99,False,False
T00000021,C000007,2025-10-10,P0013,Core Fitted Tank,training_tops,30.99,16.06,30.99,27.89,3.1,10.0,1,27.89,11.83,asia_pacific,influencer,410,1.782,94.98,False,False
T00000022,C000007,2025-11-05,P0019,Core Pullover Hoodie,hoodies,68.99,27.64,68.99,68.99,0.0,0.0,1,68.99,41.35,asia_pacific,influencer,436,2.513,122.87,False,False
T00000023,C000008,2025-11-17,P0012,Apex Training Tee,training_tops,33.99,15.36,33.99,25.49,8.5,25.0,1,25.49,10.13,uk,affiliate,0,0.0,0.0,False,False
T00000024,C000009,2024-06-16,P0011,Contour V-Neck Sports Bra,sports_bras,39.99,17.72,39.99,33.99,6.0,15.0,1,33.99,16.27,north_america,paid_social,0,0.0,0.0,False,False
T00000025,C000010,2024-02-02,P0005,Contour High-Rise Leggings,leggings,43.99,18.32,43.99,35.19,8.8,20.0,1,35.19,16.87,europe,influencer,0,0.0,0.0,False,False
T00000026,C000010,2024-03-03,P0025,Motion Training Joggers,joggers,48.99,25.3,48.99,41.64,14.7,15.0,2,83.28,32.68,europe,influencer,30,4.0,35.19,False,False
T00000027,C000010,2024-11-02,P0016,Everyday Oversized Tee,training_tops,35.99,17.41,35.99,35.99,0.0,0.0,1,35.99,18.58,europe,influencer,274,2.666,118.47,False,False
T00000028,C000010,2025-01-08,P0037,Core Crew Socks,accessories,21.99,7.77,21.99,21.99,0.0,0.0,1,21.99,14.22,europe,influencer,341,3.213,154.46,False,False
T00000029,C000010,2025-03-26,P0013,Core Fitted Tank,training_tops,30.99,16.06,30.99,27.89,9.3,10.0,3,83.67,35.49,europe,influencer,418,3.495,176.45,False,False
T00000030,C000010,2025-07-21,P0029,Core Running Shorts,shorts,35.99,16.04,35.99,28.79,7.2,20.0,1,28.79,12.75,europe,influencer,535,3.414,260.12,False,False
T00000031,C000011,2025-10-20,P0023,Apex Slim Joggers,joggers,56.99,20.57,56.99,56.99,0.0,0.0,2,113.98,72.84,north_america,paid_social,0,0.0,0.0,False,False
T00000032,C000012,2025-08-20,P0023,Apex Slim Joggers,joggers,56.99,20.57,56.99,56.99,0.0,0.0,1,56.99,36.42,north_america,paid_social,0,0.0,0.0,False,False
T00000033,C000012,2025-11-30,P0026,Lift Tapered Joggers,joggers,58.99,28.66,58.99,47.19,11.8,20.0,1,47.19,18.53,north_america,paid_social,102,3.581,56.99,False,False
T00000034,C000013,2024-03-06,P0039,Motion Duffel Bag,accessories,17.99,7.29,17.99,15.29,8.1,15.0,3,45.87,24.0,north_america,organic_search,0,0.0,0.0,False,False
T00000035,C000013,2024-04-15,P0016,Everyday Oversized Tee,training_tops,35.99,17.41,35.99,35.99,0.0,0.0,1,35.99,18.58,north_america,organic_search,40,4.0,45.87,False,False
T00000036,C000013,2024-11-28,P0037,Core Crew Socks,accessories,21.99,7.77,21.99,19.79,2.2,10.0,1,19.79,12.02,north_america,organic_search,267,2.736,81.86,False,False
T00000037,C000013,2025-04-28,P0029,Core Running Shorts,shorts,35.99,16.04,35.99,35.99,0.0,0.0,1,35.99,19.95,north_america,organic_search,418,2.621,101.65,False,False
T00000038,C000013,2025-08-02,P0007,Apex Support Sports Bra,sports_bras,31.99,14.19,31.99,27.19,4.8,15.0,1,27.19,13.0,north_america,organic_search,514,2.842,137.64,False,False
T00000039,C000014,2025-11-27,P0034,Core Puffer Vest,outerwear,81.99,30.49,81.99,69.69,12.3,15.0,1,69.69,39.2,europe,direct,0,0.0,0.0,False,False
T00000040,C000015,2025-03-21,P0011,Contour V-Neck Sports Bra,sports_bras,42.99,17.72,42.99,36.54,6.45,15.0,1,36.54,18.82,uk,paid_social,0,0.0,0.0,True,False
T00000041,C000015,2025-05-17,P0011,Contour V-Neck Sports Bra,sports_bras,39.99,17.72,39.99,35.99,4.0,10.0,1,35.99,18.27,uk,paid_social,57,4.0,36.54,False,False
